S11 dB20 (Ccomp=3e-14) X,S11 dB20 (Ccomp=3e-14) Y
8960000000,-10.08095007194299
8970000000,-10.01624412737578
8980000000,-9.951794127506036
8990000000,-9.887603686100787
9000000000,-9.823676293342965
9010000000,-9.760015318044857
9020000000,-9.69662400966083
9030000000,-9.633505500144448
9040000000,-9.57066280567398
9050000000,-9.508098828281934
9060000000,-9.445816357407303
9070000000,-9.383818071391913
9080000000,-9.322106538940487
9090000000,-9.260684220553186
9100000000,-9.199553469948235
9110000000,-9.138716535478626
9120000000,-9.078175561553788
9130000000,-9.01793259007313
9140000000,-8.95798956187091
9150000000,-8.898348318181592
9160000000,-8.839010602123841
9170000000,-8.779978060206741
9180000000,-8.721252243857698
9190000000,-8.66283461097289
9200000000,-8.604726527488074
9210000000,-8.546929268970489
9220000000,-8.489444022231943
9230000000,-8.432271886953977
9240000000,-8.37541387733668
9250000000,-8.318870923753297
9260000000,-8.26264387442234
9270000000,-8.206733497086272
9280000000,-8.151140480697096
9290000000,-8.09586543711228
9300000000,-8.040908902783633
9310000000,-7.986271340458303
9320000000,-7.931953140869147
9330000000,-7.877954624427127
9340000000,-7.824276042907814
9350000000,-7.770917581126199
9360000000,-7.71787935860834
9370000000,-7.665161431250067
9380000000,-7.612763792960506
9390000000,-7.560686377297
9400000000,-7.508929059078552
9410000000,-7.457491655990768
9420000000,-7.406373930163537
9430000000,-7.355575589738463
9440000000,-7.305096290410677
9450000000,-7.254935636954446
9460000000,-7.205093184721321
9470000000,-7.15556844112441
9480000000,-7.106360867089602
9490000000,-7.057469878492748
9500000000,-7.008894847567559
9510000000,-6.960635104290106
9520000000,-6.91268993773865
9530000000,-6.865058597429988
9540000000,-6.817740294628567
9550000000,-6.77073420363082
9560000000,-6.724039463025214
9570000000,-6.6776551769247
9580000000,-6.631580416176064
9590000000,-6.585814219541696
9600000000,-6.540355594855822
9610000000,-6.495203520159033
9620000000,-6.450356944801938
9630000000,-6.405814790528673
9640000000,-6.3615759525327
9650000000,-6.317639300489683
9660000000,-6.274003679566015
9670000000,-6.23066791140058
9680000000,-6.187630795067083
9690000000,-6.144891108009128
9700000000,-6.102447606955028
9710000000,-6.060299028808405
9720000000,-6.018444091513937
9730000000,-5.976881494908096
9740000000,-5.935609921539347
9750000000,-5.894628037474071
9760000000,-5.853934493076904
9770000000,-5.813527923773496
9780000000,-5.773406950790711
9790000000,-5.7335701818792
9800000000,-5.694016212014551
9810000000,-5.654743624081371
9820000000,-5.615750989536411
9830000000,-5.577036869055067
9840000000,-5.538599813160126
9850000000,-5.500438362832591
9860000000,-5.462551050103464
9870000000,-5.424936398633704
9880000000,-5.387592924271422
9890000000,-5.350519135599479
9900000000,-5.313713534461273
9910000000,-5.277174616478034
9920000000,-5.240900871545136
9930000000,-5.204890784315728
9940000000,-5.169142834672988
9950000000,-5.13365549818599
9960000000,-5.098427246550136
9970000000,-5.063456548020033
9980000000,-5.028741867823173
9990000000,-4.994281668565154
10000000000,-4.960074410622553
